"DON'T NOD", Life is Strange 2
'InnerSloth', Among Us
'Insomniac Games', Marvel's Spider-Man: Miles Morales
'Intelligent Systems Co., Fire Emblem: Awakening
'Intelligent Systems', Super Paper Mario
'Intergrow', Shantae and the Pirate's Curse
'Interplay Entertainment', Fallout 2
'Inti Creates', Mega Man ZX Advent
'Invisible Handlebar', Audiosurf
'Ion Storm', Deus Ex
'Iron Gate AB', Valheim
'Irrational Games', BioShock Infinite
'JAST USA', Full Metal Daemon Muramasa
'JVC Musical Industries', The Secret of Monkey Island
'Jackbox Games, The Jackbox Party Pack 3
'Jason Roberts', Gorogoa
'Josh Wardle', Wordle
'Jump Over The Age', Citizen Sleeper
'Jumpship', Somerville
'Jupiter Corp.', Picross S3
'Jupiter Corporation', Picross S3
'K2', Resident Evil 3
'Kadokawa Shoten', Fate/stay night
'Kepler Interactive', Sifu
'Kikiyama', Yume Nikki
'Kitfox Games', Dwarf Fortress
'Klei Entertainment', Don't Starve Together
'Koch Media', Metro 2033 Redux
'Koei Tecmo Games', Wo Long: Fallen Dynasty
'Koei Tecmo', Hyrule Warriors: Age of Calamity
'Kojima Productions', Metal Gear Solid V: Ground Zeroes
'Konami Computer Entertainment Japan', Metal Gear Solid 3: Snake Eater
'Konami Computer Entertainment Tokyo', Suikoden
'Konami Digital Entertainment', Metal Gear Solid 3: Snake Eater HD Edition
'Konami', Suikoden
'Krafton', The Callisto Protocol
'LW Media', Bloodborne PSX
'Lab Zero Games', Indivisible
'Larian Studios', Baldur's Gate 3
'Leonard Menchiari', Trek to Yomi
'Level Infinite', Metal: Hellsinger
'Level-5', Professor Layton and the Curious Village
'Light Brick Studio', LEGO Builder's Journey
'Lionhead Studios', Fable II
'Live Wire', Ender Lilies: Quietus of the Knights
'Lizardcube', Streets of Rage 4
'Lo-Fi Games', Kenshi
'Looking Glass Studios', System Shock
'Love-de-Lic', Moon: Remix RPG Adventure
'Lowtech Studios', Slither.io
'Lucas Pope', Return of the Obra Dinn
'LucasArts', Star Wars: Battlefront II
'Lucasfilm Games', Return to Monkey Island
'Ludeon Studios', RimWorld
'Ludosity', Nickelodeon All-Star Brawl
'Luis Antonio', Twelve Minutes
'Luminous Productions', Forspoken
'MONKEYCRAFT Co. Ltd', Klonoa Phantasy Reverie Series
'MTV Games', Rock Band 2
'MachineGames', Wolfenstein: The New Order
'Maddy Makes Games', Celeste
'Majesco Entertainment', Psychonauts
'Makura', Wonderful Everyday: Down the Rabbit-Hole
'MangaGamer', The House in Fata Morgana: A Requiem for Innocence
'Marvelous Entertainment', Flower, Sun, and Rain: Murder and Mystery in Paradise
'Massive Entertainment', Tom Clancy's The Division
'Massive Monster', Cult of the Lamb
'Matheus Valadares', Agar.io
'Maxis', Spore
'Media Molecule', LittleBigPlanet
'Mediatonic', Fall Guys
'MercurySteam', Metroid Dread
'Microsoft Game Studios', Banjo-Kazooie
'Microsoft Studios', Ori and the Blind Forest
'Microsoft', Microsoft Minesweeper
'Midway Games', Mortal Kombat 3
'Midway', NBA Jam
'Millennium Kitchen', Attack of the Friday Monsters! A Tokyo Tale
'Miniclip.com', Agar.io
'Miro Haverinen', Fear & Hunger
'Misfits Attic', Duskers
'Mobius Digital', Outer Wilds
'Modern Storyteller', The Forgotten City
'Mojang Studios', Minecraft
'Monolith Productions', Middle-earth: Shadow of Mordor
'Monolith Soft', Xenosaga Episode III: Also sprach Zarathustra
'Moon Studios', Ori and the Blind Forest
'Moonsprout Games', Bug Fables: The Everlasting Sapling
'Moppin', Downwell
'Motion Twin', Dead Cells
'Motive Studios', Dead Space
'Mundfish', Atomic Heart
'NEOWIZ', Lies of P
'NIS America', Danganronpa 2: Goodbye Despair
'NOVECT', The House in Fata Morgana: A Requiem for Innocence
'NOW Production', Katamari Damacy
'Namco Bandai Games', Xenosaga Episode III: Also sprach Zarathustra
'Namco Hometek', Tekken 3
'Namco Networks America, Pac-Man
'Namco Tales Studio', Tales of Symphonia
'Namco', Tekken 3
'Nankidai', Your Turn To Die: Death Game By Majority
'Naughty Dog', Crash Bandicoot
'Nazca Corporation', Metal Slug
'Ndemic Creations', Plague Inc: Evolved
'Necrophone Games', Jazzpunk
'NetherRealm Studios', Mortal Kombat X
'Neversoft Entertainment', Guitar Hero III: Legends of Rock
'New Blood Interactive', Gloomwood
'Nex Entertainment', Bayonetta
'Next Level Games', Mario Strikers: Battle League
'Niantic Labs', Pokémon Go
'Nicalis, The Binding of Isaac: Rebirth
'Night School Studio', Oxenfree
'Nihon Falcom', The Legend of Heroes: Trails of Cold Steel
'Nikita Kaf Publishing', Milk inside a bag of milk inside a bag of milk
'Nikita Kryukov', Milk inside a bag of milk inside a bag of milk
'Ninja Kiwi', Bloons TD 6
'Ninja Theory', DmC: Devil May Cry
'Nintendo Australia', Phoenix Wright: Ace Attorney
'Nintendo EAD Group No. 1', Mario Kart 8
'Nintendo EAD Group No. 2', Animal Crossing: New Leaf
'Nintendo EAD Software Development Group No.3', The Legend of Zelda: Twilight Princess
'Nintendo EAD Software Development Group No.4', Pikmin 3
'Nintendo EAD Tokyo', The Legend of Zelda: Majora's Mask 3D
'Nintendo EAD', The Legend of Zelda
'Nintendo EPD Production Group No. 3', The Legend of Zelda: Tears of the Kingdom
'Nintendo EPD', Splatoon 2
'Nintendo R&D1', Metroid Fusion
'Nintendo R&D4', Super Mario Bros.
'Nintendo SPD Group No. 1', Tomodachi Life
