2023-05-11 06:46:00,2023-05-11 06:47:00,Tweetbot for iΟS,1
2023-05-11 06:46:00,2023-05-11 06:47:00,Slogover,2
2023-05-11 06:46:00,2023-05-11 06:47:00,LinkedIn,4
2023-05-11 06:46:00,2023-05-11 06:47:00,Sprout Social,2
2023-05-11 06:46:00,2023-05-11 06:47:00,Twitter for iPhone,172
2023-05-11 06:46:00,2023-05-11 06:47:00,The Tweeted Times,1
2023-05-11 06:46:00,2023-05-11 06:47:00,threadcreator.com,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Sprinklr,1
2023-05-11 06:52:00,2023-05-11 06:53:00,TweetDeck,34
2023-05-11 06:52:00,2023-05-11 06:53:00,Mastodon-Twitter Crossposter,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Twitter for Android,952
2023-05-11 06:52:00,2023-05-11 06:53:00,Jetpack.com,1
2023-05-11 06:52:00,2023-05-11 06:53:00,LaterMedia,2
2023-05-11 06:52:00,2023-05-11 06:53:00,Nintendo Switch Share,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Tweetlogix,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Talon Android,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Qualtrics Social Connect,4
2023-05-11 06:52:00,2023-05-11 06:53:00,LinkedIn,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Twitter for Mac,2
2023-05-11 06:52:00,2023-05-11 06:53:00,SocialFlow,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Twitter Web App,526
2023-05-11 06:52:00,2023-05-11 06:53:00,Aviary for Twitter,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Twitter Media Studio,4
2023-05-11 06:52:00,2023-05-11 06:53:00,Planable,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Cloud Campaign,3
2023-05-11 06:52:00,2023-05-11 06:53:00,Twitter for iPhone,1439
2023-05-11 06:52:00,2023-05-11 06:53:00,Semrush Social Media Tool,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Instagram,8
2023-05-11 06:52:00,2023-05-11 06:53:00,Twitter for iPad,41
2023-05-11 06:52:00,2023-05-11 06:53:00,TweetDeck Web App,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Plume for Android,1
2023-05-11 06:52:00,2023-05-11 06:53:00,Echofon,1
2023-05-11 06:52:00,2023-05-11 06:53:00,0
2023-05-11 06:52:00,2023-05-11 06:53:00,Twittimer,2
